column_name,feature_group,data_type,unit_or_levels,meaning,confidence,evidence_basis,actionability,leakage_risk,modeling_recommendation
Hectares,Farm profile,numeric,hectares (ha),Cultivated land area for the record.,high,Explicit from column name and UCI variable listing.,depends_on_operational_context,none,keep_or_review
Agriblock,Farm profile,categorical,"location block names (e.g., Sankarapuram)",Administrative/operational farming block identifier.,high,Explicit from dataset values and column name.,depends_on_operational_context,none,keep_or_review
Variety,Crop choice,categorical,"rice variety labels (CO_43, ponmani, delux ponni)",Paddy seed variety used for cultivation.,high,Explicit from column name and category values.,depends_on_operational_context,none,keep_or_review
Soil Types,Field condition,categorical,"soil class labels (e.g., clay, alluvial)",Dominant soil type in the field.,high,Explicit from column name and category values.,depends_on_operational_context,none,keep_or_review
Seedrate(in Kg),Input practice,numeric,kilograms (kg),Seed quantity applied for planting.,high,Explicit from column name unit.,depends_on_operational_context,none,keep_or_review
LP_Mainfield(in Tonnes),Input practice,numeric,tonnes,Land-preparation input quantity for the main field (abbreviation LP likely Land Preparation).,medium,Unit is explicit; LP expansion inferred from agronomy naming and source context.,depends_on_operational_context,none,keep_or_review
Nursery,Input practice,categorical,wet/dry,Nursery method used before transplanting.,high,Explicit from values and column name.,depends_on_operational_context,none,keep_or_review
Nursery area (Cents),Input practice,numeric,cents of land area,Area allocated to nursery bed (1 cent = 1/100 acre).,high,Explicit from column name.,depends_on_operational_context,none,keep_or_review
LP_nurseryarea(in Tonnes),Input practice,numeric,tonnes,Land-preparation input quantity for nursery area (LP likely Land Preparation).,medium,Unit is explicit; LP expansion inferred.,depends_on_operational_context,none,keep_or_review
DAP_20days,Fertilizer schedule,numeric,application amount (unit not stated in metadata),DAP fertilizer dose around day 20 of crop schedule.,medium,Timing explicit in name; exact application unit not documented in visible metadata.,depends_on_operational_context,none,keep_or_review
Weed28D_thiobencarb,Crop protection schedule,numeric,application amount (unit not stated),Thiobencarb herbicide/weeding input around day 28.,medium,Chemical name and timing explicit; unit not documented in visible metadata.,depends_on_operational_context,none,keep_or_review
Urea_40Days,Fertilizer schedule,numeric,application amount (unit not stated),Urea dose around day 40.,medium,Timing and fertilizer type explicit; unit not documented in visible metadata.,depends_on_operational_context,none,keep_or_review
Potassh_50Days,Fertilizer schedule,numeric,application amount (unit not stated),Potash fertilizer dose around day 50 (spelled Potassh in source data).,medium,Timing and fertilizer type explicit; unit not documented in visible metadata.,depends_on_operational_context,none,keep_or_review
Micronutrients_70Days,Fertilizer schedule,numeric,application amount (unit not stated),Micronutrient dose around day 70.,medium,Timing explicit; unit not documented in visible metadata.,depends_on_operational_context,none,keep_or_review
Pest_60Day(in ml),Crop protection schedule,numeric,milliliters (ml),Pesticide amount applied around day 60.,high,Explicit from column name unit and timing.,depends_on_operational_context,none,keep_or_review
30DRain( in mm),Weather/water,numeric,millimeters (mm),Rainfall total/amount in first 30-day window.,medium,Rain and mm explicit; exact aggregation definition inferred from naming.,depends_on_operational_context,none,keep_or_review
30DAI(in mm),Weather/water,numeric,millimeters (mm),Irrigation amount for first 30-day window (AI/DAI code appears to refer to irrigation in source notes).,medium,mm explicit; AI/DAI expansion inferred from UCI/source-paper wording.,depends_on_operational_context,none,keep_or_review
30_50DRain( in mm),Weather/water,numeric,millimeters (mm),Rainfall amount in day 30-50 window.,medium,Rain and window explicit from naming.,depends_on_operational_context,none,keep_or_review
30_50DAI(in mm),Weather/water,numeric,millimeters (mm),Irrigation amount in day 30-50 window (AI/DAI label ambiguous but treated as irrigation).,medium,mm and window explicit; AI/DAI expansion inferred.,depends_on_operational_context,none,keep_or_review
51_70DRain(in mm),Weather/water,numeric,millimeters (mm),Rainfall amount in day 51-70 window.,medium,Rain and window explicit from naming.,depends_on_operational_context,none,keep_or_review
51_70AI(in mm),Weather/water,numeric,millimeters (mm),Irrigation amount in day 51-70 window.,medium,mm and window explicit; AI expansion inferred.,depends_on_operational_context,none,keep_or_review
71_105DRain(in mm),Weather/water,numeric,millimeters (mm),Rainfall amount in day 71-105 window.,medium,Rain and window explicit from naming.,depends_on_operational_context,none,keep_or_review
71_105DAI(in mm),Weather/water,numeric,millimeters (mm),Irrigation amount in day 71-105 window.,medium,mm and window explicit; AI/DAI expansion inferred.,depends_on_operational_context,none,keep_or_review
Min temp_D1_D30,Weather,numeric,temperature (likely deg C),Minimum temperature over day 1-30 window.,medium,Min temp and window explicit; temperature unit not explicitly shown in column.,depends_on_operational_context,none,keep_or_review
Max temp_D1_D30,Weather,numeric,temperature (likely deg C),Maximum temperature over day 1-30 window.,medium,Max temp and window explicit; unit inferred.,depends_on_operational_context,none,keep_or_review
Min temp_D31_D60,Weather,numeric,temperature (likely deg C),Minimum temperature over day 31-60 window.,medium,Min temp and window explicit; unit inferred.,depends_on_operational_context,none,keep_or_review
Max temp_D31_D60,Weather,numeric,temperature (likely deg C),Maximum temperature over day 31-60 window.,medium,Max temp and window explicit; unit inferred.,depends_on_operational_context,none,keep_or_review
Min temp_D61_D90,Weather,numeric,temperature (likely deg C),Minimum temperature over day 61-90 window.,medium,Min temp and window explicit; unit inferred.,depends_on_operational_context,none,keep_or_review
Max temp_D61_D90,Weather,numeric,temperature (likely deg C),Maximum temperature over day 61-90 window.,medium,Max temp and window explicit; unit inferred.,depends_on_operational_context,none,keep_or_review
Min temp_D91_D120,Weather,numeric,temperature (likely deg C),Minimum temperature over day 91-120 window.,medium,Min temp and window explicit; unit inferred.,depends_on_operational_context,none,keep_or_review
Max temp_D91_D120,Weather,numeric,temperature (likely deg C),Maximum temperature over day 91-120 window.,medium,Max temp and window explicit; unit inferred.,depends_on_operational_context,none,keep_or_review
Inst Wind Speed_D1_D30(in Knots),Weather,numeric,knots,Instantaneous wind speed statistic for day 1-30 window.,high,Explicit from column name unit and window.,depends_on_operational_context,none,keep_or_review
Inst Wind Speed_D31_D60(in Knots),Weather,numeric,knots,Instantaneous wind speed statistic for day 31-60 window.,high,Explicit from column name unit and window.,depends_on_operational_context,none,keep_or_review
Inst Wind Speed_D61_D90(in Knots),Weather,numeric,knots,Instantaneous wind speed statistic for day 61-90 window.,high,Explicit from column name unit and window.,depends_on_operational_context,none,keep_or_review
Inst Wind Speed_D91_D120(in Knots),Weather,numeric,knots,Instantaneous wind speed statistic for day 91-120 window.,high,Explicit from column name unit and window.,depends_on_operational_context,none,keep_or_review
Wind Direction_D1_D30,Weather,categorical,"compass categories (e.g., SW, SSE, NNW)",Dominant/representative wind direction in day 1-30 window.,high,Explicit from column name and compass-coded values.,depends_on_operational_context,none,keep_or_review
Wind Direction_D31_D60,Weather,categorical,compass categories,Dominant/representative wind direction in day 31-60 window.,high,Explicit from column name and compass-coded values.,depends_on_operational_context,none,keep_or_review
Wind Direction_D61_D90,Weather,categorical,compass categories,Dominant/representative wind direction in day 61-90 window.,high,Explicit from column name and compass-coded values.,depends_on_operational_context,none,keep_or_review
Wind Direction_D91_D120,Weather,categorical,compass categories,Dominant/representative wind direction in day 91-120 window.,high,Explicit from column name and compass-coded values.,depends_on_operational_context,none,keep_or_review
Relative Humidity_D1_D30,Weather,numeric,percent (%),Relative humidity level in day 1-30 window.,high,Explicit from column name.,depends_on_operational_context,none,keep_or_review
Relative Humidity_D31_D60,Weather,numeric,percent (%),Relative humidity level in day 31-60 window.,high,Explicit from column name.,depends_on_operational_context,none,keep_or_review
Relative Humidity_D61_D90,Weather,numeric,percent (%),Relative humidity level in day 61-90 window.,high,Explicit from column name.,depends_on_operational_context,none,keep_or_review
Relative Humidity_D91_D120,Weather,numeric,percent (%),Relative humidity level in day 91-120 window.,high,Explicit from column name.,depends_on_operational_context,none,keep_or_review
Trash(in bundles),Post-harvest/byproduct,numeric,bundles,"Post-cultivation byproduct quantity (trash bundles), observed after yield realization.",high,Strong target correlation pattern plus domain interpretation that trash is measured post-cultivation/harvest; treat as leakage.,not_modifiable_for_prediction,post_outcome_leakage,exclude_from_modeling
Paddy yield(in Kg),Target,numeric,kilograms (kg),Observed paddy yield outcome for the record.,high,Explicit target field name in dataset.,depends_on_operational_context,none,keep_or_review
